calc_time,funding_interval_hours,last_funding_rate
1647302400000,8,5.726e-05
1647331200000,8,4.476e-05
1647360000000,8,9.061e-05
1647388800000,8,0.0001
1647417600000,8,5.871e-05
1647446400000,8,0.0001
1647475200000,8,0.0001
1647504000000,8,0.0001
1647532800000,8,0.0001
1647561600000,8,0.0001
1647590400000,8,1.662e-05
1647619200000,8,0.0001
1647648000000,8,0.0001
1647676800000,8,0.0001
1647705600000,8,0.0001
1647734400000,8,0.0001
1647763200000,8,0.0001
1647792000000,8,0.0001
1647820800000,8,0.0001
1647849600000,8,-9.54e-06
1647878400000,8,-9.3e-07
1647907200000,8,0.0001
1647936000000,8,0.0001
1647964800000,8,0.0001
1647993600000,8,0.0001
1648022400000,8,0.0001
1648051200000,8,7.014e-05
1648080000000,8,1.664e-05
1648108800000,8,8e-06
1648137600000,8,-9.07e-06
1648166400000,8,6.7e-06
1648195200000,8,9.286e-05
1648224000000,8,5.473e-05
1648252800000,8,9.739e-05
1648281600000,8,-7.111e-05
1648310400000,8,0.0001
1648339200000,8,-8.253e-05
1648368000000,8,1.306e-05
1648396800000,8,0.0001
1648425600000,8,0.0001
1648454400000,8,0.0001
1648483200000,8,0.0001
1648512000000,8,0.0001
1648540800000,8,0.0001
1648569600000,8,9.594e-05
1648598400000,8,0.0001
1648627200000,8,0.0001
1648656000000,8,0.0001
1648684800000,8,0.0001
1648713600000,8,0.0001
1648742400000,8,0.0001
1648771200000,8,0.0001
1648800000000,8,7.626e-05
1648828800000,8,9.193e-05
1648857600000,8,0.0001
1648886400000,8,0.0001
1648915200000,8,0.0001
1648944000000,8,0.0001
1648972800000,8,0.0001
1649001600000,8,0.0001
1649030400000,8,0.0001
1649059200000,8,0.0001
1649088000000,8,0.0001
1649116800000,8,0.0001
1649145600000,8,0.0001
1649174400000,8,0.0001
1649203200000,8,9.898e-05
1649232000000,8,0.0001
1649260800000,8,0.0001
1649289600000,8,0.0001
1649318400000,8,0.0001
1649347200000,8,2.421e-05
1649376000000,8,4.306e-05
1649404800000,8,0.0001
1649433600000,8,0.0001
1649462400000,8,0.0001
1649491200000,8,9.279e-05
1649520000000,8,0.0001
1649548800000,8,2.721e-05
1649577600000,8,6.231e-05
1649606400000,8,0.0001
1649635200000,8,2.43e-06
1649664000000,8,0.0001
1649692800000,8,0.0001
1649721600000,8,-6.795e-05
1649750400000,8,-0.00010012
