open_time,open,high,low,close,volume,close_time,qav,trades,tbbav,tbqav,ignore
1640995200000,3675.82,3726.70893261,3675.82,3721.88,0,1640998799999,0.0,3600,0,0.0,0
1640998800000,3721.84444621,3747.04084673,3713.35576315,3724.07809276,0,1641002399999,0.0,3600,0,0.0,0
1641002400000,3724.07809276,3735.53068857,3721.83624984,3727.01,0,1641005999999,0.0,3600,0,0.0,0
1641006000000,3727.03,3734.46,3721.33795572,3722.06,0,1641009599999,0.0,3600,0,0.0,0
1641009600000,3722.06,3726.51,3706.61,3707.29,0,1641013199999,0.0,3600,0,0.0,0
1641013200000,3707.29,3762.50505223,3702.75654671,3735.28,0,1641016799999,0.0,3600,0,0.0,0
1641016800000,3735.14378048,3741.64873175,3709.10572491,3711.97151089,0,1641020399999,0.0,3600,0,0.0,0
1641020400000,3711.58521903,3724.143649,3702.11775157,3715.94175397,0,1641023999999,0.0,3600,0,0.0,0
1641024000000,3715.14029259,3732.58930235,3709.05439451,3721.13934859,0,1641027599999,0.0,3600,0,0.0,0
1641027600000,3721.13934859,3729.59,3708.38,3717.47488671,0,1641031199999,0.0,3600,0,0.0,0
1641031200000,3717.47,3731.10804947,3673.52115951,3690.63,0,1641034799999,0.0,3600,0,0.0,0
1641034800000,3690.72,3710.87,3690.61,3692.82331989,0,1641038399999,0.0,3600,0,0.0,0
1641038400000,3692.89729249,3717.99,3692.89729249,3715.78856768,0,1641041999999,0.0,3600,0,0.0,0
1641042000000,3715.78853524,3724.07187497,3705.26308223,3708.83,0,1641045599999,0.0,3600,0,0.0,0
1641045600000,3708.68,3712.2,3691.82524569,3697.15014355,0,1641049199999,0.0,3600,0,0.0,0
1641049200000,3697.04420778,3743.39,3691.87009232,3724.27,0,1641052799999,0.0,3600,0,0.0,0
1641052800000,3723.98,3747.12,3718.6249801,3726.45,0,1641056399999,0.0,3600,0,0.0,0
1641056400000,3726.46,3762.79,3726.02216305,3758.97,0,1641059999999,0.0,3600,0,0.0,0
1641060000000,3758.97,3764.44,3738.44402472,3750.15,0,1641063599999,0.0,3600,0,0.0,0
1641063600000,3750.27465955,3755.27,3733.63,3745.23,0,1641067199999,0.0,3600,0,0.0,0
1641067200000,3745.23,3774.72,3739.0,3758.81621299,0,1641070799999,0.0,3600,0,0.0,0
1641070800000,3759.11761547,3774.37,3744.64734925,3747.05,0,1641074399999,0.0,3600,0,0.0,0
1641074400000,3747.13749507,3762.2,3738.9179739,3755.8,0,1641077999999,0.0,3600,0,0.0,0
1641078000000,3755.82199494,3771.99,3743.71973289,3763.38391326,0,1641081599999,0.0,3600,0,0.0,0
1641081600000,3763.37248047,3770.0,3750.22946285,3760.55,0,1641085199999,0.0,3600,0,0.0,0
1641085200000,3760.55,3762.23,3741.25534087,3745.26,0,1641088799999,0.0,3600,0,0.0,0
1641088800000,3745.26,3752.51,3740.44638223,3745.35,0,1641092399999,0.0,3600,0,0.0,0
1641092400000,3745.36,3759.0,3741.77783545,3756.89,0,1641095999999,0.0,3600,0,0.0,0
1641096000000,3756.65,3759.76339421,3716.83074656,3722.84613456,0,1641099599999,0.0,3600,0,0.0,0
1641099600000,3722.84616719,3742.65,3719.90389021,3742.12,0,1641103199999,0.0,3600,0,0.0,0
1641103200000,3742.13,3747.75,3735.52720594,3736.93692474,0,1641106799999,0.0,3600,0,0.0,0
