calc_time,funding_interval_hours,last_funding_rate
1647475200000,8,0.0001
1647504000000,8,0.0001
1647532800000,8,0.0001
1647561600000,8,0.0001
1647590400000,8,0.0001
1647619200000,8,0.0001
1647648000000,8,0.0001
1647676800000,8,0.0001
1647705600000,8,0.0001
1647734400000,8,0.0001
1647763200000,8,0.0001
1647792000000,8,0.0001
1647820800000,8,0.0001
1647849600000,8,0.0001
1647878400000,8,0.0001
1647907200000,8,0.0001
1647936000000,8,0.0001
1647964800000,8,0.0001
1647993600000,8,0.0001
1648022400000,8,0.0001
1648051200000,8,0.0001
1648080000000,8,0.0001
1648108800000,8,0.0001
1648137600000,8,0.0001
1648166400000,8,0.0001
1648195200000,8,0.0001
1648224000000,8,0.0001
1648252800000,8,0.0001
1648281600000,8,0.0001
1648310400000,8,0.0001
1648339200000,8,0.0001
1648368000000,8,0.0001
1648396800000,8,0.0001
1648425600000,8,0.0001
1648454400000,8,0.0001
1648483200000,8,0.0001
1648512000000,8,0.0001
1648540800000,8,0.0001
1648569600000,8,0.0001
1648598400000,8,0.0001
1648627200000,8,0.0001
1648656000000,8,0.0001
1648684800000,8,0.0001
1648713600000,8,0.0001
1648742400000,8,0.0001
1648771200000,8,0.0001
1648800000000,8,0.0001
1648828800000,8,0.0001
1648857600000,8,0.0001
1648886400000,8,0.0001
1648915200000,8,0.0001
1648944000000,8,0.0001
1648972800000,8,0.0001
1649001600000,8,0.0001
1649030400000,8,0.0001
1649059200000,8,0.0001
1649088000000,8,0.0001
1649116800000,8,0.0001
1649145600000,8,0.0001
1649174400000,8,0.0001
1649203200000,8,0.0001
1649232000000,8,0.0001
1649260800000,8,8.063e-05
1649289600000,8,-1.815e-05
1649318400000,8,0.0001
1649347200000,8,7.983e-05
1649376000000,8,0.0001
1649404800000,8,0.0001
1649433600000,8,0.0001
1649462400000,8,0.0001
1649491200000,8,0.0001
1649520000000,8,0.0001
1649548800000,8,0.0001
1649577600000,8,0.0001
1649606400000,8,0.0001
1649635200000,8,0.0001
1649664000000,8,7.39e-06
1649692800000,8,-6.11e-06
1649721600000,8,-1.941e-05
1649750400000,8,7.971e-05
1649779200000,8,8.008e-05
1649808000000,8,-1.247e-05
1649836800000,8,4.025e-05
1649865600000,8,0.0001
1649894400000,8,9.739e-05
1649923200000,8,0.0001
1649952000000,8,0.0001
1649980800000,8,8.196e-05
1650009600000,8,0.0001
1650038400000,8,0.0001
1650067200000,8,-3.967e-05
1650096000000,8,4.916e-05
1650124800000,8,6.529e-05
1650153600000,8,-8.449e-05
1650182400000,8,6.511e-05
1650211200000,8,1.622e-05
1650240000000,8,4.428e-05
1650268800000,8,5.359e-05
1650297600000,8,6.457e-05
1650326400000,8,7.301e-05
1650355200000,8,0.0001
1650384000000,8,0.0001
1650412800000,8,0.0001
1650441600000,8,0.0001
1650470400000,8,0.0001
1650499200000,8,-3.49e-06
1650528000000,8,0.0001
1650556800000,8,0.0001
1650585600000,8,6.367e-05
1650614400000,8,1.226e-05
1650643200000,8,0.0001
1650672000000,8,0.0001
1650700800000,8,0.0001
1650729600000,8,0.0001
1650758400000,8,0.0001
1650787200000,8,0.0001
1650816000000,8,0.0001
1650844800000,8,0.0001
1650873600000,8,-1.348e-05
1650902400000,8,-7.256e-05
1650931200000,8,-8.078e-05
1650960000000,8,0.0001
1650988800000,8,3.94e-05
1651017600000,8,-7.618e-05
1651046400000,8,6.176e-05
1651075200000,8,0.0001
