calc_time,funding_interval_hours,last_funding_rate
1646640000000,8,-4.775e-05
1646668800000,8,6.7e-07
1646697600000,8,2.814e-05
1646726400000,8,0.0001
1646755200000,8,0.0001
1646784000000,8,-5.022e-05
1646812800000,8,0.0001
1646841600000,8,0.0001
1646870400000,8,0.0001
1646899200000,8,0.0001
1646928000000,8,-6.881e-05
1646956800000,8,-1.487e-05
1646985600000,8,-3.858e-05
1647014400000,8,7.324e-05
1647043200000,8,7.735e-05
1647072000000,8,9.681e-05
1647100800000,8,9.897e-05
1647129600000,8,0.0001
1647158400000,8,0.0001
1647187200000,8,3.32e-05
1647216000000,8,0.0001
1647244800000,8,0.0001
1647273600000,8,0.0001
1647302400000,8,0.0001
1647331200000,8,0.0001
1647360000000,8,0.0001
1647388800000,8,0.0001
1647417600000,8,0.0001
1647446400000,8,0.0001
1647475200000,8,0.0001
1647504000000,8,0.0001
1647532800000,8,0.0001
1647561600000,8,0.0001
1647590400000,8,0.0001
1647619200000,8,0.0001
1647648000000,8,0.0001
1647676800000,8,0.0001
1647705600000,8,0.0001
1647734400000,8,0.0001
1647763200000,8,0.0001
1647792000000,8,0.0001
1647820800000,8,0.0001
1647849600000,8,6.183e-05
1647878400000,8,4.368e-05
1647907200000,8,0.0001
1647936000000,8,0.0001
1647964800000,8,0.0001
1647993600000,8,0.0001
1648022400000,8,0.0001
1648051200000,8,0.0001
1648080000000,8,0.0001
1648108800000,8,0.0001
1648137600000,8,0.0001
1648166400000,8,0.0001
1648195200000,8,0.0001
1648224000000,8,0.0001
1648252800000,8,0.0001
1648281600000,8,0.0001
1648310400000,8,0.0001
1648339200000,8,0.0001
1648368000000,8,0.0001
1648396800000,8,8.569e-05
1648425600000,8,3.885e-05
1648454400000,8,0.0001
1648483200000,8,0.0001
1648512000000,8,0.0001
1648540800000,8,0.0001
1648569600000,8,0.0001
1648598400000,8,0.0001
1648627200000,8,0.0001
1648656000000,8,0.0001
1648684800000,8,0.0001
1648713600000,8,0.0001
1648742400000,8,0.0001
1648771200000,8,0.0001
1648800000000,8,0.0001
1648828800000,8,0.0001
1648857600000,8,0.0001
1648886400000,8,0.0001
1648915200000,8,0.0001
1648944000000,8,0.0001
1648972800000,8,0.0001
1649001600000,8,0.0001
1649030400000,8,0.0001
1649059200000,8,0.0001
1649088000000,8,0.0001
1649116800000,8,0.0001
1649145600000,8,0.0001
1649174400000,8,0.0001
1649203200000,8,0.0001
1649232000000,8,0.0001
1649260800000,8,0.0001
1649289600000,8,0.0001
1649318400000,8,0.0001
1649347200000,8,-1.999e-05
1649376000000,8,0.0001
1649404800000,8,7.141e-05
1649433600000,8,-8.67e-06
1649462400000,8,-2.102e-05
1649491200000,8,-0.00010071
1649520000000,8,-4.901e-05
1649548800000,8,4.621e-05
1649577600000,8,-3.56e-06
1649606400000,8,-5.867e-05
1649635200000,8,8.77e-05
1649664000000,8,0.0001
1649692800000,8,0.0001
1649721600000,8,1.234e-05
1649750400000,8,-4.518e-05
1649779200000,8,-2.614e-05
1649808000000,8,3.38e-06
1649836800000,8,3.3e-06
1649865600000,8,7.56e-06
1649894400000,8,6.718e-05
1649923200000,8,1.928e-05
1649952000000,8,2.405e-05
1649980800000,8,7.477e-05
1650009600000,8,1.093e-05
1650038400000,8,3.18e-06
1650067200000,8,4.42e-05
1650096000000,8,2.7e-07
1650124800000,8,1.9e-05
1650153600000,8,0.0001
1650182400000,8,6.873e-05
1650211200000,8,0.0001
1650240000000,8,6.509e-05
1650268800000,8,-8.104e-05
1650297600000,8,-8.262e-05
1650326400000,8,7.619e-05
1650355200000,8,0.0001
1650384000000,8,0.0001
1650412800000,8,0.0001
1650441600000,8,0.0001
1650470400000,8,0.0001
1650499200000,8,0.0001
1650528000000,8,0.0001
1650556800000,8,0.0001
1650585600000,8,0.0001
1650614400000,8,0.0001
1650643200000,8,4.562e-05
1650672000000,8,0.0001
1650700800000,8,0.0001
1650729600000,8,-0.00010378
1650758400000,8,-4.956e-05
1650787200000,8,7.34e-06
1650816000000,8,6.085e-05
1650844800000,8,4.967e-05
1650873600000,8,-4.545e-05
1650902400000,8,-8.571e-05
1650931200000,8,-3.7e-06
1650960000000,8,8.835e-05
1650988800000,8,-4.43e-05
1651017600000,8,-9.244e-05
1651046400000,8,4.328e-05
1651075200000,8,5.659e-05
1651104000000,8,-7.066e-05
1651132800000,8,2.847e-05
1651161600000,8,-0.00014775
1651190400000,8,4.822e-05
1651219200000,8,7.776e-05
1651248000000,8,3.948e-05
1651276800000,8,4.104e-05
1651305600000,8,0.0001
1651334400000,8,-1.96e-06
1651363200000,8,-0.00033407
1651392000000,8,-0.0001754
1651420800000,8,-2.366e-05
1651449600000,8,-3.764e-05
1651478400000,8,-7.505e-05
1651507200000,8,-5.79e-05
1651536000000,8,2.527e-05
1651564800000,8,4.176e-05
1651593600000,8,-6.52e-06
1651622400000,8,-1.173e-05
1651651200000,8,3.65e-06
1651680000000,8,-5.21e-06
1651708800000,8,1.202e-05
1651737600000,8,0.0001
1651766400000,8,1.41e-05
1651795200000,8,-0.00019937
1651824000000,8,2.119e-05
1651852800000,8,-1.453e-05
1651881600000,8,-7.63e-06
1651910400000,8,5.92e-06
1651939200000,8,-6.997e-05
1651968000000,8,-6.156e-05
1651996800000,8,5.65e-06
1652025600000,8,9.782e-05
1652054400000,8,-0.00013911
1652083200000,8,-3.995e-05
1652112000000,8,-0.00013895
1652140800000,8,-0.00015146
1652169600000,8,8.977e-05
1652198400000,8,-8.877e-05
1652227200000,8,-0.0003563
1652256000000,8,-0.00037782
1652284800000,8,-0.00131956
1652313600000,8,-0.00121558
1652342400000,8,-0.00136442
1652371200000,8,-0.00132411
1652400000000,8,-0.00066663
1652428800000,8,-0.00086267
1652457600000,8,-0.00034587
1652486400000,8,-0.0001833
1652515200000,8,-0.00013604
1652544000000,8,-0.00042046
1652572800000,8,-6.465e-05
1652601600000,8,-3.59e-06
1652630400000,8,-0.00013599
1652659200000,8,-0.00012304
1652688000000,8,-5.115e-05
1652716800000,8,-0.00021481
1652745600000,8,-0.00016672
1652774400000,8,-0.00012752
1652803200000,8,-4.305e-05
1652832000000,8,-7.6e-07
1652860800000,8,-6.376e-05
1652889600000,8,-0.00011468
1652918400000,8,-7.774e-05
1652947200000,8,-6.592e-05
1652976000000,8,5.065e-05
1653004800000,8,3.377e-05
1653033600000,8,-1.922e-05
1653062400000,8,-6.114e-05
1653091200000,8,-4.397e-05
1653120000000,8,-3.735e-05
1653148800000,8,-6.202e-05
1653177600000,8,4.62e-06
1653206400000,8,3.055e-05
1653235200000,8,1.666e-05
1653264000000,8,6.402e-05
1653292800000,8,0.0001
1653321600000,8,5.049e-05
1653350400000,8,-0.00012309
1653379200000,8,-0.00011051
1653408000000,8,-0.00015371
1653436800000,8,6.104e-05
1653465600000,8,7.84e-05
1653494400000,8,-2.86e-05
1653523200000,8,0.0001
1653552000000,8,-0.00011389
1653580800000,8,-0.00021906
1653609600000,8,-0.00014257
1653638400000,8,-5.33e-06
1653667200000,8,-1.81e-06
1653696000000,8,7.5e-06
1653724800000,8,-1.494e-05
1653753600000,8,-1.802e-05
1653782400000,8,-2.49e-06
1653811200000,8,-3.26e-06
1653840000000,8,0.0001
1653868800000,8,8.839e-05
1653897600000,8,0.0001
1653926400000,8,0.0001
1653955200000,8,0.0001
1653984000000,8,0.0001
1654012800000,8,0.0001
1654041600000,8,0.0001
1654070400000,8,0.0001
1654099200000,8,0.0001
1654128000000,8,-4.526e-05
1654156800000,8,-8.497e-05
1654185600000,8,-2.33e-05
1654214400000,8,6.063e-05
1654243200000,8,3.726e-05
1654272000000,8,-2.772e-05
1654300800000,8,6.593e-05
1654329600000,8,-7.799e-05
1654358400000,8,-0.00011171
1654387200000,8,-8.688e-05
1654416000000,8,-9.031e-05
1654444800000,8,-4.947e-05
1654473600000,8,1.117e-05
1654502400000,8,3.923e-05
1654531200000,8,0.0001
1654560000000,8,3.519e-05
1654588800000,8,6.625e-05
1654617600000,8,-0.00012704
1654646400000,8,2.202e-05
1654675200000,8,-5.611e-05
1654704000000,8,-5.28e-06
1654732800000,8,-2.06e-05
1654761600000,8,3.94e-06
1654790400000,8,2.197e-05
1654819200000,8,9.694e-05
1654848000000,8,4.696e-05
1654876800000,8,-9.951e-05
1654905600000,8,-9.987e-05
1654934400000,8,-9.415e-05
1654963200000,8,-0.0003144
1654992000000,8,-0.0004073
1655020800000,8,-0.00024937
1655049600000,8,-0.00018527
1655078400000,8,-0.00018721
1655107200000,8,-0.00035495
1655136000000,8,-0.00027264
1655164800000,8,-0.00018856
1655193600000,8,-0.00024766
1655222400000,8,-0.00012208
1655251200000,8,-0.00011727
1655280000000,8,-0.00011617
1655308800000,8,2.489e-05
1655337600000,8,-9.465e-05
1655366400000,8,6.463e-05
1655395200000,8,-0.00015316
1655424000000,8,-8.995e-05
1655452800000,8,-0.00023728
1655481600000,8,-0.00020039
1655510400000,8,0.0001
1655539200000,8,-0.00019382
1655568000000,8,-0.00015715
1655596800000,8,-0.00027253
1655625600000,8,3.851e-05
1655654400000,8,3.159e-05
1655683200000,8,0.0001
1655712000000,8,-7.43e-06
1655740800000,8,0.0001
1655769600000,8,1.335e-05
1655798400000,8,-4.834e-05
1655827200000,8,-0.0001115
1655856000000,8,-0.00018474
1655884800000,8,-2.989e-05
1655913600000,8,-7.087e-05
1655942400000,8,-5.501e-05
1655971200000,8,-4.23e-06
1656000000000,8,4.8e-05
1656028800000,8,-3.462e-05
1656057600000,8,-3.472e-05
1656086400000,8,5.941e-05
1656115200000,8,4.599e-05
1656144000000,8,6.69e-06
1656172800000,8,4.134e-05
1656201600000,8,0.0001
1656230400000,8,5.422e-05
1656259200000,8,2.984e-05
1656288000000,8,-8.524e-05
1656316800000,8,-5.212e-05
1656345600000,8,-5.794e-05
1656374400000,8,-1.66e-06
1656403200000,8,-0.00011607
1656432000000,8,-0.00010439
1656460800000,8,-3.836e-05
1656489600000,8,-9.36e-06
1656518400000,8,5.463e-05
1656547200000,8,-9.058e-05
1656576000000,8,9.26e-06
1656604800000,8,-1.65e-05
1656633600000,8,-7.592e-05
1656662400000,8,-0.00012661
1656691200000,8,-3.883e-05
1656720000000,8,-8.115e-05
1656748800000,8,-6.851e-05
1656777600000,8,-2.603e-05
1656806400000,8,-1.291e-05
1656835200000,8,1.283e-05
1656864000000,8,-5.817e-05
1656892800000,8,-1.79e-06
1656921600000,8,-0.00014514
1656950400000,8,6.37e-06
1656979200000,8,-3.792e-05
1657008000000,8,-7.35e-05
1657036800000,8,-4.487e-05
1657065600000,8,6.23e-06
1657094400000,8,3.646e-05
1657123200000,8,4.154e-05
1657152000000,8,-1.899e-05
1657180800000,8,7.689e-05
1657209600000,8,-4.495e-05
1657238400000,8,3.905e-05
1657267200000,8,8.517e-05
1657296000000,8,-0.00010229
1657324800000,8,6.265e-05
1657353600000,8,0.0001
1657382400000,8,4.984e-05
1657411200000,8,5.998e-05
1657440000000,8,0.0001
1657468800000,8,0.0001
1657497600000,8,0.0001
1657526400000,8,0.0001
1657555200000,8,6.141e-05
1657584000000,8,-2.61e-06
1657612800000,8,-3.365e-05
1657641600000,8,8.5e-06
1657670400000,8,-6.728e-05
1657699200000,8,-6.822e-05
1657728000000,8,-0.00017596
1657756800000,8,1.647e-05
1657785600000,8,0.0001
1657814400000,8,-4.3e-07
1657843200000,8,0.0001
1657872000000,8,0.0001
1657900800000,8,2.787e-05
1657929600000,8,7.745e-05
1657958400000,8,0.0001
1657987200000,8,4.828e-05
1658016000000,8,0.0001
1658044800000,8,0.0001
1658073600000,8,0.0001
1658102400000,8,4.956e-05
1658131200000,8,0.0001
1658160000000,8,0.0001
1658188800000,8,0.0001
1658217600000,8,0.0001
1658246400000,8,0.0001
1658275200000,8,0.0001
1658304000000,8,0.0001
1658332800000,8,0.0001
1658361600000,8,0.0001
1658390400000,8,0.0001
1658419200000,8,0.0001
1658448000000,8,0.0001
1658476800000,8,0.0001
1658505600000,8,0.0001
1658534400000,8,5.983e-05
1658563200000,8,7.218e-05
1658592000000,8,0.0001
1658620800000,8,1.546e-05
1658649600000,8,0.0001
1658678400000,8,2.87e-05
1658707200000,8,0.0001
1658736000000,8,-2.96e-05
1658764800000,8,1.302e-05
1658793600000,8,2.473e-05
1658822400000,8,4.215e-05
1658851200000,8,7.794e-05
1658880000000,8,7.23e-06
1658908800000,8,6.03e-05
1658937600000,8,-7.25e-06
1658966400000,8,0.0001
1658995200000,8,0.0001
1659024000000,8,0.0001
1659052800000,8,0.0001
1659081600000,8,0.0001
1659110400000,8,0.0001
1659139200000,8,0.0001
1659168000000,8,0.0001
1659196800000,8,0.0001
1659225600000,8,0.0001
1659254400000,8,0.0001
1659283200000,8,0.0001
1659312000000,8,1.22e-05
1659340800000,8,0.0001
1659369600000,8,0.0001
1659398400000,8,9.608e-05
1659427200000,8,-1.138e-05
1659456000000,8,-5.7e-06
1659484800000,8,3.935e-05
1659513600000,8,-8.266e-05
1659542400000,8,-0.0001824
1659571200000,8,-3.691e-05
1659600000000,8,-5.352e-05
1659628800000,8,-1.77e-06
1659657600000,8,2.935e-05
1659686400000,8,0.0001
1659715200000,8,9.433e-05
1659744000000,8,0.0001
1659772800000,8,0.0001
1659801600000,8,0.0001
1659830400000,8,0.0001
1659859200000,8,8.3e-05
1659888000000,8,6.506e-05
1659916800000,8,0.0001
1659945600000,8,0.0001
1659974400000,8,0.0001
1660003200000,8,0.0001
1660032000000,8,0.0001
1660060800000,8,0.0001
1660089600000,8,6.131e-05
1660118400000,8,0.0001
1660147200000,8,0.0001
1660176000000,8,0.0001
1660204800000,8,0.0001
1660233600000,8,0.0001
1660262400000,8,0.0001
1660291200000,8,0.0001
1660320000000,8,0.0001
1660348800000,8,0.0001
1660377600000,8,0.0001
1660406400000,8,0.0001
1660435200000,8,0.0001
1660464000000,8,0.0001
1660492800000,8,5.903e-05
1660521600000,8,0.0001
1660550400000,8,0.0001
