open_time,open,high,low,close,volume,close_time,qav,trades,tbbav,tbqav,ignore
1640995200000,46216.33098118,46723.3712615,46216.33098118,46649.99,0,1640998799999,0.0,3600,0,0.0,0
1640998800000,46650.01,46932.36401592,46576.19660932,46771.80673825,0,1641002399999,0.0,3600,0,0.0,0
1641002400000,46771.20567939,46917.87,46719.77,46796.15,0,1641005999999,0.0,3600,0,0.0,0
1641006000000,46796.15,46889.62059065,46750.01,46797.84255666,0,1641009599999,0.0,3600,0,0.0,0
1641009600000,46796.90974531,46868.73,46609.0,46695.93565642,0,1641013199999,0.0,3600,0,0.0,0
1641013200000,46695.94036231,47536.22279185,46659.28599918,47196.39432613,0,1641016799999,0.0,3600,0,0.0,0
1641016800000,47184.18,47310.13,46941.22150499,46973.21,0,1641020399999,0.0,3600,0,0.0,0
1641020400000,46967.58,47247.24892643,46903.13443453,47199.71868465,0,1641023999999,0.0,3600,0,0.0,0
1641024000000,47190.84948535,47328.68564487,47073.33938022,47118.69,0,1641027599999,0.0,3600,0,0.0,0
1641027600000,47117.84,47200.0,46928.03849384,47138.76,0,1641031199999,0.0,3600,0,0.0,0
1641031200000,47137.37,47286.85,46712.02175059,46867.67743332,0,1641034799999,0.0,3600,0,0.0,0
1641034800000,46867.67743332,46997.33025449,46758.86670262,46760.9885101,0,1641038399999,0.0,3600,0,0.0,0
1641038400000,46760.4273457,47136.34686409,46760.4273457,47064.26014963,0,1641041999999,0.0,3600,0,0.0,0
1641042000000,47064.42162218,47195.0,46933.3890581,47014.00468903,0,1641045599999,0.0,3600,0,0.0,0
1641045600000,47014.53299819,47100.0,46845.00413648,46912.81,0,1641049199999,0.0,3600,0,0.0,0
1641049200000,46911.82885288,47458.35948918,46867.92995908,47196.91691248,0,1641052799999,0.0,3600,0,0.0,0
1641052800000,47197.066436,47495.81,47176.13963152,47250.0,0,1641056399999,0.0,3600,0,0.0,0
1641056400000,47249.99,47928.45,47221.36593894,47735.78,0,1641059999999,0.0,3600,0,0.0,0
