cell_id,algorithm,target,config_name,seed,train_terminal_equity,train_total_return,train_annualized_return,train_annualized_vol,train_sharpe_ratio,train_sortino_ratio,train_max_drawdown,train_mean_turnover,train_total_trading_cost,train_total_funding_cost,train_total_price_pnl,train_n_liquidations,train_mean_abs_exposure,train_std_exposure,train_mean_signed_exposure,validation_terminal_equity,validation_total_return,validation_annualized_return,validation_annualized_vol,validation_sharpe_ratio,validation_sortino_ratio,validation_max_drawdown,validation_mean_turnover,validation_total_trading_cost,validation_total_funding_cost,validation_total_price_pnl,validation_n_liquidations,validation_mean_abs_exposure,validation_std_exposure,validation_mean_signed_exposure,wall_clock_seconds
E0L0R0S0,PPO,BTCUSDT,ppo_short_rollout,42,0.224314228974817,-0.775685771025183,-0.41243269752939826,0.5249193657650335,-0.7504729237881697,-0.9571732755576943,0.8932367879819506,4.06124355277586e-05,0.001,-0.163881047941409,-0.9385668189665921,0,1.0,0.0,-1.0,0.8283967805852774,-0.17160321941472256,-0.28138649829851015,0.4324733880542089,-0.5478736163800408,-0.7326045835704355,0.41437877138603274,0.0002003606491685033,0.001,-0.0239421406493463,-0.19454536006406897,0,1.0,0.0,-1.0,486.6935124397278
E0L0R0S0,PPO,BTCUSDT,ppo_canonical,42,1.603549200938687,0.6035492009386869,0.18293556077664697,0.5107361670797141,0.5845358833212356,0.7256478475580928,0.43319902361718265,0.01790285865274969,0.4683425744692778,0.20288125325685247,1.2747730286648142,0,0.9721747040748596,0.7275590896606445,0.6562557220458984,1.004130213395216,0.004130213395215909,0.0072604835785106125,0.42089299531895047,0.22734189232270366,0.3064249813252214,0.26680404598339946,0.022266194812522053,0.11269615987555293,0.014309805861969949,0.13113617913273856,0,0.9655768871307373,0.7700924277305603,0.5985856652259827,320.0054624080658
E0L0R0S0,PPO,ETHUSDT,ppo_short_rollout,42,0.330050078311634,-0.669949921688366,-0.3258949385460538,0.6589625121448391,-0.2689325228382059,-0.34317354640812164,0.8964464406026502,4.06124355277586e-05,0.001,-0.11994537007926453,-0.7888952917676306,0,1.0,0.0,-1.0,0.46173728295156513,-0.5382627170484349,-0.7423918091537074,0.7403978530301746,-1.4610171815266508,-1.9931523136675706,0.7549051668633506,0.0002003606491685033,0.001,-0.023003098252246446,-0.5602658153006814,0,1.0,0.0,-1.0,495.1723232269287
E0L0R0S0,PPO,ETHUSDT,ppo_canonical,42,0.22770761083091767,-0.7722923891690823,-0.4092857270522514,0.6341943577058241,-0.5128347745174882,-0.6490818597553152,0.9238924075977742,0.025158205513835935,0.29244361514557665,-0.08573474470212261,-0.5655835187256315,0,0.9526144862174988,0.3398098349571228,-0.9038058519363403,0.4388525034759117,-0.5611474965240884,-0.7643800094116835,0.7222991221024524,-1.63940217538469,-2.2141724596523393,0.7433320451983367,0.014801308448123947,0.053163093112661014,-0.02141963562897331,-0.5294040390404007,0,0.9721234440803528,0.18327470123767853,-0.9624020457267761,409.1359040737152
E0L0R0S0,PPO,SOLUSDT,ppo_short_rollout,42,0.013336907291963573,-0.9866630927080364,-0.784741474737855,1.0710046794384545,-0.895742465859883,-1.1147312675543342,0.9966670964870321,4.06124355277586e-05,0.001,0.7765438913068143,-0.2091192014012222,0,1.0,0.0,-1.0,0.6740237948030106,-0.32597620519698944,-0.499622542204023,0.8540471006645735,-0.3816567915129671,-0.5148506544114722,0.639957213041918,0.0002003606491685033,0.001,-0.004573734160103982,-0.32954993935709354,0,1.0,0.0,-1.0,513.7156758308411
E0L0R0S0,PPO,SOLUSDT,ppo_canonical,42,0.1735919864701364,-0.8264080135298636,-0.46364624758508877,0.8177842691026859,-0.3524841497171561,-0.43436059516214487,0.9348398908196491,0.13628408732530028,2.1059558008794017,0.03194925197359594,1.311497039323136,0,0.6888675093650818,0.6686774492263794,-0.36238935589790344,0.9919726269963075,-0.008027373003692495,-0.014046585889638363,0.603481431598554,0.2783701203334711,0.37005004259884566,0.40763693827243297,0.1264954408582399,0.6386123668492998,0.0012477728941568955,0.6318327667397625,0,0.6801339387893677,0.5677338242530823,-0.49737608432769775,467.24524760246277
E0L0R0S0,PPO,XRPUSDT,ppo_short_rollout,42,0.037818343117206776,-0.9621816568827932,-0.6881136116585991,0.8446686709384704,-0.9518754975868706,-1.1266344431212285,0.9820466908430798,4.06124355277586e-05,0.001,-0.06572810170450083,-1.0269097585872942,0,1.0,0.0,-1.0,0.604763609600274,-0.395236390399726,-0.5863357151965563,0.8555806356368153,-0.5984087411204898,-0.7237623731719426,0.6029996292997376,0.0002003606491685033,0.001,-0.011695109712547946,-0.4059315001122741,0,1.0,0.0,-1.0,500.79160499572754
E0L0R0S0,PPO,XRPUSDT,ppo_canonical,42,0.05884503255530779,-0.9411549674446922,-0.6349890531538651,0.8416487408944976,-0.7715164871831028,-0.9141668423669126,0.9721557287538654,0.002034376410288064,0.019644497812773682,-0.06800587152839199,-0.9895163411603107,0,0.9977994561195374,0.1570757031440735,-0.9859832525253296,0.4497252782075124,-0.5502747217924876,-0.7540384455467284,0.8514892230474078,-1.2152814472634825,-1.4360441104746788,0.7001258270181775,0.0022769735902517982,0.006810989896696145,-0.008562989347446148,-0.5520267212432373,0,0.9962833523750305,0.2166517674922943,-0.9734411835670471,359.49636483192444
E0L0R0S0,PPO,ALL,ppo_short_rollout,42,0.7331777569884478,-0.2668222430115522,-0.10454000456403512,0.3234694792951194,-0.17959192833454368,-0.22268489018530627,0.6321867829484116,0.008252859295034217,0.14967781882646303,0.1880884047610607,0.07094398057597573,0,0.25,0.2600868046283722,0.08606330305337906,1.170777715528251,0.17077771552825105,0.31881404153257376,0.2825826842629278,1.1204982479466299,1.576500240422617,0.1743266446015106,0.008388892074020968,0.04400888529566617,0.013997333440443072,0.2287839342643565,0,0.25,0.2598404586315155,0.08619755506515503,1631.8735122680664
E0L0R0S0,PPO,ALL,ppo_canonical,42,0.26914046139474435,-0.7308595386052557,-0.3730881006363945,0.3006382927599588,-1.402947292701623,-1.768511398900643,0.813628354268525,0.09440101898800568,1.2547671209873872,-0.0190813208701357,0.5048262615119938,0,0.17653198540210724,0.21743978559970856,-0.04834790900349617,0.4597897815021596,-0.5402102184978403,-0.7442958077651272,0.31891772142886055,-4.115091115894848,-4.646962519022339,0.5921130900375944,0.09283847350495071,0.36599963382923867,-0.002985849549276054,-0.17719643421787623,0,0.17760199308395386,0.21769943833351135,-0.042612213641405106,678.7098872661591
