experiment,cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,seed,config_name,train_terminal_equity,train_total_return,train_annualized_return,train_annualized_vol,train_sharpe_ratio,train_sortino_ratio,train_max_drawdown,train_mean_turnover,train_total_trading_cost,train_total_funding_cost,train_total_price_pnl,train_n_liquidations,train_mean_abs_exposure,train_std_exposure,train_mean_signed_exposure,test_terminal_equity,test_total_return,test_annualized_return,test_annualized_vol,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,test_mean_turnover,test_total_trading_cost,test_total_funding_cost,test_total_price_pnl,test_n_liquidations,test_mean_abs_exposure,test_std_exposure,test_mean_signed_exposure,wall_clock_seconds
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,BTCUSDT,5,ppo_canonical,1.1466050229597922,0.14660502295979216,0.041160286147555514,0.4925899495381566,0.3282323433462659,0.41380432259713035,0.5636571223033326,0.022405425749273025,0.6692405832362323,0.17373793345932143,0.9895835396553423,0,0.9606619477272034,0.746023416519165,0.6222388744354248,0.6619021561561399,-0.3380978438438601,-0.46938258972335434,0.43376313391432675,-1.243820676692182,-1.5981174136417422,0.47421877845945015,0.023582473870753448,0.10628906225792252,0.011411971918061425,-0.220396809667875,0,0.9565553069114685,0.6419908404350281,0.7250266075134277,417.2819745540619
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,BTCUSDT,10,ppo_canonical,1.1351601895817112,0.13516018958171117,0.038085361462437683,0.5045747804511298,0.32658348164193124,0.40700924662924526,0.5728642275044633,0.015294252479577622,0.43443376470555445,0.22343321420531748,0.7930271684925856,0,0.9771398305892944,0.6410966515541077,0.7451648712158203,0.6486073840510269,-0.3513926159489731,-0.48566215315865247,0.4470384286101973,-1.2634774593505629,-1.6097734830409018,0.5050676036262715,0.010644541317949707,0.04354216531935327,0.01542750230388279,-0.29242294832573634,0,0.982742190361023,0.4211055338382721,0.8924069404602051,417.63671231269836
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,BTCUSDT,15,ppo_canonical,0.2933081091148592,-0.7066918908851407,-0.30346062517438965,0.49451879675418214,-0.483953974595347,-0.6210778719067099,0.8649488710026754,0.020328019509079247,0.45263544634307773,-0.147919964753648,-0.4019764092957132,0,0.9646371006965637,0.5651659965515137,-0.7944101095199585,1.1044848777187468,0.10448487771874682,0.16488551077955704,0.44028692131379754,0.5665788622261495,0.7852872527357804,0.25494624913884223,0.023197463292989037,0.1408472166675228,-0.013064029367313879,0.2322680650189568,0,0.9503381252288818,0.4005359709262848,-0.8778488636016846,409.81367540359497
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,BTCUSDT,20,ppo_canonical,0.4476677131401527,-0.5523322868598473,-0.21098057147907023,0.501206015020678,-0.22206263991781583,-0.27859462489925474,0.7696028735412913,0.012394158396760687,0.13455180853633392,0.03725196059482694,-0.38052851772868834,0,0.9815308451652527,0.848100483417511,0.5039745569229126,0.6918679077252139,-0.3081320922747861,-0.43204580899773015,0.44976272476360496,-1.0326534918004096,-1.3241365748656542,0.5005819675256794,0.009636683266108325,0.04541891547130929,0.013753809813085383,-0.24895936699039112,0,0.9853731393814087,0.3500758409500122,0.9252611398696899,360.4169647693634
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,BTCUSDT,25,ppo_canonical,0.11577409953034973,-0.8842259004696502,-0.470440318154445,0.49621000811065497,-1.0330457840662204,-1.3370111842283843,0.910643366179054,0.013067519398310417,0.15532063336169108,-0.057367740362730846,-0.7862730074706903,0,0.9812127947807312,0.6437655687332153,-0.7472525238990784,0.859579851735456,-0.14042014826454396,-0.20735426206138607,0.43973853125829326,-0.30841631900544486,-0.39620777022559767,0.3200777708062318,0.023266911424362057,0.11482734116299426,0.008063759147336924,-0.01752904795421273,0,0.9646814465522766,0.9716700911521912,0.08270469307899475,413.995667219162
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,ETHUSDT,5,ppo_short_rollout,1.169640234204143,0.16964023420414298,0.04728422021963685,0.6789238373925222,0.4079513338702688,0.5094962491019251,0.7146278062888975,3.365756790414325e-05,0.000999824756352859,0.19972175931484593,0.37036181827534165,0,0.9999984502792358,0.00027495325775817037,0.9999984502792358,0.5199900068208563,-0.4800099931791437,-0.6337014204932006,0.6457636369136193,-1.2319510898407058,-1.5779288583424038,0.6234453919162701,0.0001753155680224404,0.0009999499870034505,0.011899378349646383,-0.46711066484249386,0,0.9999101758003235,0.0067809829488396645,0.9999101758003235,244.5428023338318
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,ETHUSDT,10,ppo_short_rollout,1.1694799275205159,0.16947992752051588,0.047241897680524225,0.6789241502626181,0.4078919336405683,0.5094224293424713,0.7146277981666505,3.365756790414325e-05,0.001,0.199692806404558,0.37017273392507377,0,1.0,0.0,1.0,0.5202029362081979,-0.4797970637918021,-0.6334710387474258,0.6457705387375019,-1.2309575083963717,-1.576681671696608,0.6234453800664808,0.0001753155680224404,0.001,0.011875929217552539,-0.46692113457424966,0,1.0,0.0,1.0,362.3587462902069
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,ETHUSDT,15,ppo_short_rollout,0.17856491397010776,-0.8214350860298922,-0.3982732065174275,0.6789216205289642,-0.40876196802351805,-0.5294328158468837,0.9401356933876067,3.365756790414325e-05,0.001,-0.12876315409054584,-0.9491982401204382,0,1.0,0.0,-1.0,1.4621100426495892,0.4621100426495892,0.7921340817026972,0.6457747703109267,1.2261931718250916,1.6588253635826404,0.31606001544450546,0.0001753155680224404,0.001,-0.01111911061735782,0.4519909320322313,0,1.0,0.0,-1.0,473.69834661483765
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,ETHUSDT,20,ppo_short_rollout,0.37152979251095264,-0.6284702074890474,-0.25317852184357703,0.6767791145599598,-0.09328897407527192,-0.12271344864680594,0.8776750775518803,0.001074309319228647,0.03499812343695818,-0.17686250252940994,-0.7703345865814981,0,0.9988226294517517,0.3202570974826813,-0.9464536309242249,1.7248903585202289,0.7248903585202289,1.3099887726180226,0.644855424727008,1.6205543429320308,2.214678155869771,0.31606002327942695,0.0010404868200316838,0.007240104453741256,-0.013027469281411186,0.7191029936925588,0,0.9987773895263672,0.15362736582756042,-0.9872267842292786,441.0482814311981
thesis_experiment_trainvaltest,E0L0R0S0,LSTM,L=1,diff_sharpe,sequential,PPO,asset,ETHUSDT,25,ppo_short_rollout,0.19327883488203004,-0.80672116511797,-0.38406005737347915,0.6784491380511236,-0.3747853341104736,-0.4807066363950563,0.9352028171963872,0.0015470278964842394,0.017627051807815656,-0.11426354736825495,-0.9033576606784095,0,0.9993098974227905,0.5476367473602295,-0.8361451625823975,1.4621100426495892,0.4621100426495892,0.7921340817026972,0.6457747703109267,1.2261931718250916,1.6588253635826404,0.31606001544450546,0.0001753155680224404,0.001,-0.01111911061735782,0.4519909320322313,0,1.0,0.0,-1.0,481.39354157447815
