cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,config_name,test_return_mean,test_return_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,test_n_liq_mean,seeds_completed
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,RecurrentPPO,asset,XRPUSDT,rppo_short_rollout,-0.47403247375933794,0.21280103328968694,-1.4029892883010642,1.1456783407315574,0.6191854950309319,0.029319944555268977,0.0,5
E0L0R0S1,LSTM,L=1,diff_sharpe,random_subs,RecurrentPPO,portfolio,ALL,rppo_short_rollout,-0.3633335355198778,0.21625745871046834,-1.8091823158947768,0.9903344308979437,0.4372279637384458,0.04255403321640438,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,A2C,asset,BTCUSDT,a2c_mnih_canonical,0.043390640882287036,0.3332761117746573,0.2133696486991775,1.1871122027196883,0.35334322095283127,0.0001753155680224,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,A2C,asset,ETHUSDT,a2c_sb3_default,0.08534720007303269,0.5159037692723695,0.24333289973650635,1.3458368547464583,0.43901416129329557,0.0001753155680224,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,A2C,asset,SOLUSDT,a2c_mnih_canonical,-0.3242487340886563,0.572326051167441,-0.8993853048010647,1.3375712943506177,0.6123568229333223,0.0001753155680224,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,A2C,asset,XRPUSDT,a2c_sb3_default,-0.30013130968533597,0.47078572166256333,-0.8093749570748748,1.2030833584889882,0.5736488984789954,0.0001753155680224,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,A2C,portfolio,ALL,a2c_sb3_default,0.20710793464650043,0.22972619336156871,0.8670548523735382,1.074858373624921,0.18684047000865273,0.0001753155680224,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,PPO,asset,BTCUSDT,ppo_short_rollout,0.043180895187689375,0.3330849161905712,0.2128161103586041,1.1866074316169601,0.3533432226272065,0.0001753155680224,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,PPO,asset,ETHUSDT,ppo_canonical,0.11131720094952305,0.3843392559290722,0.4383674054227026,0.9229846112014125,0.4159337890221476,0.00511445059619974,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,PPO,asset,SOLUSDT,ppo_short_rollout,0.48200833133526116,1.0475164734661369,0.5933405347572203,1.9549881813537016,0.45358512598011497,0.004369093796439421,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,PPO,asset,XRPUSDT,ppo_canonical,0.26813374106366816,0.47409779555915565,0.6926223117340287,1.1810826416714828,0.3824475688948035,0.0054963738594835995,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,PPO,portfolio,ALL,ppo_short_rollout,-0.12194392353433417,0.3084091033096581,-1.1487859449109006,1.7049207840865965,0.30280037463289816,0.05144816384682436,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,RecurrentPPO,asset,BTCUSDT,rppo_canonical,0.1484337143060696,0.2767676436699955,0.5912258307859725,1.006131736807076,0.3026540469224764,0.00090030640948866,0.0,5
